"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1658537",-6.41528444444441,66.0179789473684,-2.46557402619962,0.024197086231264,0.643713090996158,-3.89282822516123,"TXNDC2","Not Significant"
"ILMN_1663884",27.4109544444445,85.4496736842105,2.46554367579069,0.024198598046074,0.643713090996158,-3.89284623799889,"","Not Significant"
"ILMN_1690284",8.64475666666667,65.4319052631579,2.46523704272053,0.024213877041613,0.643713090996158,-3.893028221778,"TIAL1","Not Significant"
"ILMN_1800430",16.2035122222223,68.8513421052632,2.46500293683817,0.0242255482439709,0.643713090996158,-3.89316715936466,"BRF1","Not Significant"
"ILMN_1799153",-734.082168888888,3316.37605263158,-2.46495606756258,0.0242278855183493,0.643713090996158,-3.89319497521931,"STK38","Not Significant"
"ILMN_1818041",-6.04675222222218,62.5934210526316,-2.46410606024368,0.0242703104743939,0.643713090996158,-3.8936994232333,"","Not Significant"
"ILMN_1696488",-8.72830555555554,94.3433105263158,-2.46356421034733,0.0242973913727027,0.643713090996158,-3.89402097918064,"FGF23","Not Significant"
"ILMN_1723822",-9.75108444444439,80.3495947368421,-2.46336494163662,0.0243073576925429,0.643713090996158,-3.89413923105037,"PBRM1","Not Significant"
"ILMN_1652736",-12.9027777777778,116.755842105263,-2.46321530210033,0.0243148443640217,0.643713090996158,-3.89422803068583,"RPS6KA3","Not Significant"
"ILMN_1824453",-13.1182522222222,75.1705789473684,-2.46274376969429,0.0243384499707139,0.643713090996158,-3.89450784447225,"","Not Significant"
"ILMN_1842706",-5.48369,54.1638473684211,-2.46233337885223,0.0243590122890355,0.643713090996158,-3.89475137022382,"","Not Significant"
"ILMN_1892119",8.95881444444453,70.9524210526316,2.46224227024246,0.0243635794326149,0.643713090996158,-3.89480543330176,"","Not Significant"
"ILMN_1782329",8.67936666666669,58.4337210526316,2.46217826702958,0.0243667883034021,0.643713090996158,-3.89484341210731,"HIST1H4L","Not Significant"
"ILMN_1687896",78.8734700000001,512.940252631579,2.46196173239859,0.0243776474515115,0.643713090996158,-3.89497190041068,"PIK3C3","Not Significant"
"ILMN_1661282",16.0896988888889,72.5006736842105,2.46139599443856,0.0244060405358676,0.643713090996158,-3.89530759345909,"","Not Significant"
"ILMN_1785037",-51.4129755555556,266.138894736842,-2.46138925204605,0.02440637910854,0.643713090996158,-3.8953115941437,"SSR2","Not Significant"
"ILMN_1735148",-61.7293855555557,429.306205263158,-2.46125019017836,0.024413363156528,0.643713090996158,-3.89539410795054,"SEC24B","Not Significant"
"ILMN_1907457",9.55888888888889,60.9421052631579,2.46120715475121,0.0244155248883355,0.643713090996158,-3.89541964334296,"","Not Significant"
"ILMN_1843249",-4.28392333333326,50.2349368421053,-2.46115966311313,0.0244179106710849,0.643713090996158,-3.89544782279215,"","Not Significant"
"ILMN_1691428",5841.99800555557,25232.6486368421,2.46093932531354,0.0244289823969938,0.643713090996158,-3.89557856059958,"","Not Significant"
"ILMN_1752455",61.0185544444445,219.022084210526,2.46078716186972,0.0244366311952256,0.643713090996158,-3.89566884612267,"DOCK5","Not Significant"
"ILMN_1729644",-15.4454299999999,108.595826315789,-2.46058889223737,0.0244466009931896,0.643713090996158,-3.89578648743176,"","Not Significant"
"ILMN_1678051",-9.10878111111109,63.9170157894737,-2.46019026453029,0.0244666571859983,0.643713090996158,-3.89602300535948,"","Not Significant"
"ILMN_1864858",-5.26218777777778,52.8182052631579,-2.46015516233396,0.0244684240273905,0.643713090996158,-3.89604383231248,"","Not Significant"
"ILMN_1824761",-9.72760777777776,71.7789842105263,-2.46005324452201,0.0244735546603311,0.643713090996158,-3.89610430230474,"LOC105374266","Not Significant"
"ILMN_1683163",-4.68082999999998,57.2864052631579,-2.45960111856249,0.0244963272868714,0.643713090996158,-3.89637255413352,"","Not Significant"
"ILMN_1808241",-8.24082666666665,64.2993894736842,-2.45932706446103,0.0245101405125614,0.643713090996158,-3.89653515053405,"PNPLA1","Not Significant"
"ILMN_1809191",-50.1389022222221,200.403926315789,-2.45932260438271,0.024510365375718,0.643713090996158,-3.89653779667999,"RAP1A","Not Significant"
"ILMN_1859112",12.5082722222223,79.8046789473684,2.458881018431,0.0245326383637582,0.643713090996158,-3.89679978458806,"","Not Significant"
"ILMN_1754241",13.5067444444445,67.1725684210526,2.4588387465487,0.0245347714975347,0.643713090996158,-3.89682486368075,"MEIOB","Not Significant"
"ILMN_1816150",-9.41040222222225,81.8234789473684,-2.45821501117676,0.0245662668661142,0.643713090996158,-3.89719490707801,"","Not Significant"
"ILMN_1855550",-8.78217444444444,66.1611473684211,-2.45807873099846,0.0245731533614095,0.643713090996158,-3.89727575630994,"LOC101060391","Not Significant"
"ILMN_1727142",-137.678584444444,622.297031578947,-2.45767005168664,0.0245938155886225,0.643713090996158,-3.89751820471774,"IKBKB","Not Significant"
"ILMN_1669051",-13.83356,75.8333789473684,-2.45715312146241,0.0246199742298938,0.643713090996158,-3.89782486498717,"","Not Significant"
"ILMN_1814396",-799.427196666666,2310.86791052632,-2.45688699309553,0.024633451541908,0.643713090996158,-3.89798273780218,"MAGOH","Not Significant"
"ILMN_1715540",26.3358266666667,115.712294736842,2.45619046244172,0.0246687582019643,0.643713090996158,-3.89839592307436,"TRAIP","Not Significant"
"ILMN_1914006",8.05574777777782,69.1665894736842,2.45615933856846,0.0246703369599448,0.643713090996158,-3.89841438553008,"","Not Significant"
"ILMN_1693477",-10.3227011111111,82.7437105263158,-2.45600697053241,0.0246780671974639,0.643713090996158,-3.89850476868237,"NBPF1","Not Significant"
"ILMN_1662129",1284.97133333333,4044.23106842105,2.45591192284485,0.0246828904989397,0.643713090996158,-3.89856114960554,"RCN2","Not Significant"
"ILMN_1883347",-7.12218999999997,76.7514789473684,-2.45590549885704,0.0246832165233854,0.643713090996158,-3.89856496021209,"LOC105372682","Not Significant"
